team,map_name,pistol_round_win_rate,n_pistol_rounds,ct_win_rate,n_ct_rounds,t_win_rate,n_t_rounds
ATOX,Anubis,0.5625,32,0.47333333333333333,150,0.5520833333333334,192
ATOX,Dust2,0.4642857142857143,28,0.4866666666666667,150,0.5099337748344371,151
ATOX,Inferno,0.5925925925925926,54,0.58984375,256,0.5758620689655173,290
ATOX,Mirage,0.5714285714285714,14,0.35714285714285715,84,0.5285714285714286,70
ATOX,Nuke,0.5,44,0.6177777777777778,225,0.5555555555555556,207
ATOX,Train,0.5,2,0.9166666666666666,12,0.5,4
ATOX,Vertigo,1.0,2,0.4166666666666667,12,0.6666666666666666,12
AVEZ,Anubis,0.5,2,0.3333333333333333,12,0.5833333333333334,12
AVEZ,Mirage,0.5,2,0.5,12,0.4166666666666667,12
AaB,Ancient,0.5555555555555556,36,0.5195530726256983,179,0.4512820512820513,195
AaB,Anubis,0.6,10,0.46153846153846156,52,0.54,50
AaB,Dust2,0.25,4,0.375,24,0.3888888888888889,18
AaB,Inferno,0.45,40,0.5652173913043478,184,0.4194915254237288,236
AaB,Mirage,0.5,22,0.4621212121212121,132,0.49074074074074076,108
AaB,Nuke,0.4642857142857143,28,0.4339622641509434,159,0.3739130434782609,115
AaB,Overpass,0.2857142857142857,14,0.4868421052631579,76,0.39436619718309857,71
AaB,Train,0.25,4,0.375,24,0.15384615384615385,13
Abyss,Anubis,0.0,2,0.3333333333333333,12,0.0,5
Abyss,Mirage,0.0,2,0.25,12,0.0,4
Adventurers,Ancient,0.45454545454545453,22,0.42276422764227645,123,0.5043478260869565,115
Adventurers,Anubis,1.0,4,0.875,8,0.7916666666666666,24
Adventurers,Dust2,0.6666666666666666,12,0.5652173913043478,69,0.6153846153846154,52
Adventurers,Mirage,0.5833333333333334,24,0.47580645161290325,124,0.42028985507246375,138
Adventurers,Nuke,0.6875,16,0.5116279069767442,86,0.5588235294117647,68
Adventurers,Train,0.625,8,0.4583333333333333,48,0.4883720930232558,43
Aether,Ancient,0.3,10,0.49019607843137253,51,0.45614035087719296,57
Aether,Anubis,0.4166666666666667,12,0.23529411764705882,51,0.582089552238806,67
Aether,Dust2,0.425,40,0.5081967213114754,183,0.5,228
Aether,Inferno,0.3181818181818182,22,0.44660194174757284,103,0.4608695652173913,115
Aether,Mirage,0.4722222222222222,36,0.4803921568627451,204,0.44,175
Aether,Nuke,0.42857142857142855,14,0.44,75,0.4305555555555556,72
Aether,Overpass,0.6666666666666666,6,0.4166666666666667,36,0.6666666666666666,21
Aether,Train,0.25,20,0.5048543689320388,103,0.43859649122807015,114
Aetheris,Ancient,0.1875,16,0.36585365853658536,82,0.4,80
Aetheris,Anubis,0.6666666666666666,12,0.43859649122807015,57,0.6764705882352942,68
Aetheris,Dust2,0.5,4,0.6,15,0.375,24
Aetheris,Mirage,0.25,8,0.45714285714285713,35,0.3958333333333333,48
Aetheris,Nuke,1.0,4,0.391304347826087,23,0.5263157894736842,19
Afundacao,Mirage,0.5,2,0.2,5,0.25,12
Afundacao,Nuke,0.0,2,0.3333333333333333,12,0.2857142857142857,7
Aga Peek,Ancient,0.5,2,0.9166666666666666,12,0.5,4
Aga Peek,Dust2,0.75,4,0.5,24,0.38461538461538464,13
Aga Peek,Inferno,1.0,2,0.5,12,0.3,10
Aga Peek,Mirage,0.5,4,0.5,20,0.5652173913043478,23
Agency,Ancient,0.5,2,0.6666666666666666,9,0.16666666666666666,12
Agency,Inferno,0.5,2,0.5833333333333334,12,0.2727272727272727,11
AimerLegion,Nuke,0.5,2,0.0,5,0.3333333333333333,12
AimerLegion,Train,0.0,2,0.25,12,0.0,4
Akimbo,Ancient,0.475,40,0.5117370892018779,213,0.47641509433962265,212
Akimbo,Anubis,0.4,30,0.46153846153846156,130,0.5757575757575758,165
Akimbo,Dust2,0.5769230769230769,26,0.44285714285714284,140,0.4028776978417266,139
Akimbo,Inferno,0.4166666666666667,12,0.3793103448275862,58,0.40625,64
Akimbo,Mirage,0.4827586206896552,58,0.5017543859649123,285,0.4872611464968153,314
Akimbo,Nuke,0.38235294117647056,34,0.4371584699453552,183,0.4090909090909091,176
Akimbo,Overpass,0.5,4,0.4166666666666667,24,0.6086956521739131,23
Akimbo,Train,0.3333333333333333,6,0.5789473684210527,19,0.3055555555555556,36
Akimbo,Vertigo,0.0,2,0.5,12,0.5,12
Akimbo LITE,Ancient,1.0,2,0.5,12,0.5,12
Akimbo LITE,Mirage,0.5,2,0.0,6,0.4166666666666667,12
Akimbo LITE,Nuke,0.0,2,0.3333333333333333,12,0.16666666666666666,6
Akuma,Ancient,1.0,4,0.5294117647058824,17,0.7727272727272727,22
Akuma,Anubis,0.375,8,0.3333333333333333,39,0.4634146341463415,41
Akuma,Dust2,0.3333333333333333,6,0.40625,32,0.36666666666666664,30
Akuma,Mirage,0.5,8,0.6428571428571429,28,0.4782608695652174,46
Akuma,Nuke,0.5,2,0.16666666666666666,12,0.6666666666666666,9
Akuma,Train,1.0,2,0.16666666666666666,12,0.6666666666666666,9
Al-Ittihad,Ancient,0.3333333333333333,6,0.2903225806451613,31,0.5806451612903226,31
Al-Ittihad,Anubis,0.3333333333333333,6,0.42857142857142855,35,0.5,30
Al-Ittihad,Dust2,0.25,4,0.5714285714285714,21,0.5416666666666666,24
Al-Ittihad,Inferno,0.3333333333333333,6,0.47058823529411764,34,0.5,24
Al-Ittihad,Mirage,0.0,2,0.08333333333333333,12,0.0,2
Al-Ittihad,Nuke,1.0,2,0.8333333333333334,12,1.0,3
Alliance,Ancient,0.46825396825396826,126,0.5,664,0.5386949924127465,659
Alliance,Anubis,0.47058823529411764,68,0.46439628482972134,323,0.5340314136125655,382
Alliance,Dust2,0.33620689655172414,116,0.4628482972136223,646,0.47761194029850745,536
Alliance,Inferno,0.5426829268292683,164,0.5151898734177215,790,0.5563991323210412,922
Alliance,Mirage,0.38461538461538464,26,0.528169014084507,142,0.39436619718309857,142
Alliance,Nuke,0.5377358490566038,106,0.48788927335640137,578,0.5219885277246654,523
Alliance,Overpass,0.3076923076923077,26,0.4533333333333333,150,0.4594594594594595,148
Alliance,Train,0.5222222222222223,90,0.62877030162413,431,0.4279918864097363,493
Alliance,Vertigo,0.5909090909090909,22,0.5166666666666667,120,0.4444444444444444,117
Alter Ego,Ancient,0.5833333333333334,12,0.4852941176470588,68,0.532258064516129,62
Alter Ego,Anubis,0.625,8,0.6666666666666666,33,0.5555555555555556,45
Alter Ego,Dust2,0.25,8,0.5454545454545454,44,0.48484848484848486,33
Alter Ego,Inferno,0.0,2,0.5,12,0.3,10
Alter Ego,Mirage,0.6666666666666666,12,0.6610169491525424,59,0.5079365079365079,63
Alter Ego,Nuke,0.375,8,0.7073170731707317,41,0.40625,32
Alter Iron,Ancient,0.6666666666666666,12,0.4375,64,0.3333333333333333,54
Alter Iron,Anubis,0.5,20,0.45217391304347826,115,0.574468085106383,94
Alter Iron,Dust2,0.4166666666666667,12,0.3508771929824561,57,0.5076923076923077,65
Alter Iron,Inferno,0.5,6,0.3181818181818182,22,0.5555555555555556,36
Alter Iron,Mirage,0.625,8,0.20930232558139536,43,0.6190476190476191,42
Alter Iron,Nuke,0.5,10,0.32,50,0.5,50
Alter Iron,Train,0.16666666666666666,6,0.43333333333333335,30,0.27586206896551724,29
Amped Red,Anubis,0.0,2,0.4444444444444444,9,0.3333333333333333,12
Amped Red,Mirage,0.5,2,0.14285714285714285,7,0.4166666666666667,12
América,Ancient,0.6666666666666666,6,0.5555555555555556,36,0.2631578947368421,19
América,Anubis,0.4,10,0.4,40,0.4,60
América,Dust2,0.4166666666666667,12,0.39705882352941174,68,0.42592592592592593,54
América,Inferno,0.3333333333333333,24,0.3627450980392157,102,0.460431654676259,139
América,Mirage,0.25,4,0.2916666666666667,24,0.5,16
América,Nuke,0.4444444444444444,18,0.4536082474226804,97,0.5445544554455446,101
América,Train,0.5,8,0.3125,48,0.5217391304347826,23
Animus Victoria,Ancient,0.75,4,0.5294117647058824,17,0.6086956521739131,23
Animus Victoria,Anubis,0.5,4,0.5294117647058824,17,0.6666666666666666,24
Animus Victoria,Dust2,0.5,6,0.2777777777777778,36,0.35,20
Animus Victoria,Inferno,0.5,6,0.5714285714285714,28,0.3333333333333333,36
Animus Victoria,Mirage,0.4090909090909091,22,0.5163934426229508,122,0.45217391304347826,115
Animus Victoria,Nuke,0.625,8,0.4583333333333333,48,0.625,32
Animus Victoria,Overpass,0.25,8,0.4838709677419355,31,0.3125,48
Animus Victoria,Train,0.8,10,0.5185185185185185,54,0.3898305084745763,59
Anonymo,Ancient,0.5357142857142857,84,0.4923469387755102,392,0.4855371900826446,484
Anonymo,Anubis,0.5666666666666667,30,0.4327485380116959,171,0.5833333333333334,156
Anonymo,Dust2,0.625,32,0.43352601156069365,173,0.49444444444444446,180
Anonymo,Mirage,0.38095238095238093,42,0.391304347826087,230,0.4427860696517413,201
Anonymo,Nuke,0.5238095238095238,42,0.4152542372881356,236,0.44387755102040816,196
Anonymo,Train,0.5,6,0.7575757575757576,33,0.3333333333333333,33
Anonymo,Vertigo,0.3333333333333333,6,0.27586206896551724,29,0.3333333333333333,27
Anti-Eco Club,Ancient,0.16666666666666666,6,0.34782608695652173,23,0.4444444444444444,27
Anti-Eco Club,Dust2,0.5,2,0.6,10,0.5833333333333334,12
Anti-Eco Club,Inferno,0.0,2,0.4166666666666667,12,0.14285714285714285,7
Anti-Eco Club,Mirage,0.3333333333333333,6,0.42857142857142855,28,0.42857142857142855,35
Anti-Eco Club,Nuke,0.5,2,0.4166666666666667,12,0.45454545454545453,11
AntiW,Ancient,0.0,2,0.4166666666666667,12,0.25,8
AntiW,Train,0.5,2,0.5833333333333334,12,0.4166666666666667,12
